Group,Device,Reading,Date,Time
1,0,20.75,21/3/2024,16/23
1,1,21.12,21/3/2024,16/23
1,3,21.75,21/3/2024,16/23
1,4,20.44,21/3/2024,16/23
1,5,20.44,21/3/2024,16/23
1,6,20.94,21/3/2024,16/23
1,7,20.81,21/3/2024,16/23
1,8,20.87,21/3/2024,16/23
1,9,20.56,21/3/2024,16/23
1,10,20.81,21/3/2024,16/23
1,11,21.12,21/3/2024,16/23
1,12,20.19,21/3/2024,16/23
1,13,20.69,21/3/2024,16/23
1,14,21.25,21/3/2024,16/23
1,15,21.06,21/3/2024,16/23
1,16,20.50,21/3/2024,16/23
1,17,21.12,21/3/2024,16/23
1,18,20.31,21/3/2024,16/23
1,19,20.69,21/3/2024,16/23
1,20,20.75,21/3/2024,16/23
1,21,20.44,21/3/2024,16/23
1,22,20.25,21/3/2024,16/23
1,0,20.75,21/3/2024,16/24
1,1,21.12,21/3/2024,16/24
1,2,21.12,21/3/2024,16/24
1,3,21.81,21/3/2024,16/24
1,4,20.44,21/3/2024,16/24
1,5,20.37,21/3/2024,16/24
1,6,20.94,21/3/2024,16/24
1,7,20.87,21/3/2024,16/24
1,8,20.87,21/3/2024,16/24
1,9,20.50,21/3/2024,16/24
1,10,20.81,21/3/2024,16/24
1,11,21.12,21/3/2024,16/24
1,12,20.06,21/3/2024,16/24
1,13,20.69,21/3/2024,16/24
1,14,21.25,21/3/2024,16/24
1,15,21.06,21/3/2024,16/24
1,16,20.50,21/3/2024,16/24
1,17,21.12,21/3/2024,16/24
1,18,20.50,21/3/2024,16/24
1,0,20.75,21/3/2024,16/27
1,1,21.19,21/3/2024,16/27
1,2,21.06,21/3/2024,16/27
1,3,21.81,21/3/2024,16/27
1,4,20.44,21/3/2024,16/27
1,5,20.44,21/3/2024,16/27
1,6,20.87,21/3/2024,16/27
1,7,20.94,21/3/2024,16/27
1,8,20.87,21/3/2024,16/27
1,9,20.50,21/3/2024,16/27
1,10,20.81,21/3/2024,16/27
1,11,21.19,21/3/2024,16/27
1,12,20.06,21/3/2024,16/27
1,13,20.62,21/3/2024,16/27
1,14,21.25,21/3/2024,16/27
1,15,21.00,21/3/2024,16/27
1,16,20.50,21/3/2024,16/27
1,17,21.12,21/3/2024,16/27
1,18,20.37,21/3/2024,16/27
1,19,20.75,21/3/2024,16/27
